Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.31083983626931744,0.3570248798588209
1,0.6607478550282503,0.747389430771275
2,0.9824538529446155,1.1900981977473508
3,1.2762332504799638,1.4058778294691443
4,1.5456153418407503,1.5588431099786724
5,1.6974708979609407,1.8276777725842694
6,1.8242985953843234,2.1297148945053
7,2.020587635332117,2.443132283423949
8,2.1856426905889657,2.7066089495137082
9,2.3836950949611473,2.9713531044470294
10,2.6715425157943034,3.2503194175373955
11,2.971941123201903,3.451986296568355
12,3.1275724997673806,3.792034271519787
13,3.401069899320101,3.9835743905144243
14,3.5882850388837966,4.145186999458284
15,3.6812736661505183,4.272923208048672
16,3.8480081133391217,4.459585765167445
17,3.884362322025525,4.724812589727788
18,3.926326007171267,4.852347624683
19,4.115504701876314,5.11184146703226
20,4.26269105741285,5.222857215093611
21,4.468709009549367,5.378157137949059
22,4.68742311966365,5.536397302301305
23,4.791574206082032,5.711300476536094
24,4.92928634018377,5.909006172308308
25,5.126482200540077,6.183185482980675
26,5.256903704067804,6.325996481819986
27,5.430113337221662,6.57108388985278
28,5.641035973070527,6.663898107748341
29,5.771593681088461,6.861447316488162
30,5.876907214169358,7.039448209558377
31,6.018682350973174,7.337593950129583
32,6.2404639379733124,7.63541875874773
33,6.341193285041994,7.720199984644519
34,6.473502373278786,7.777742584568564
35,6.577470689511905,7.995742079510423
36,6.7620582726281455,8.186506889080105
37,6.883690216753186,8.405508386404058
38,7.059395956568338,8.488121109463972
39,7.078181919713721,8.626091143658865
40,7.23300315937733,8.737733124143073
41,7.41495006941278,8.890913133999506
42,7.429822303230391,8.991671489943645
43,7.582508146124388,9.133645837912246
44,7.619961896064548,9.26338944049734
45,7.711036116839852,9.34028164682538
46,7.9155444758023465,9.480092714744227
47,8.03989152042047,9.603927373069766
48,8.178295186212118,9.699405295031127
49,8.245731329061973,9.77114201427808
50,8.337059155511962,9.870105029666709
51,8.396452924643793,9.974507571129617
52,8.415330900513158,10.119728646321683
53,8.588981799826097,10.316318338199432
54,8.70700104069568,10.373860938123476
55,8.820286873535334,10.531655202451327
56,8.93562646316094,10.618500870380103
57,9.034141570059969,10.713980021778102
58,9.199317735083907,10.803216629177994
59,9.23119620179067,10.962048277617583
60,9.246068435608283,11.019498864817646
61,9.355645557053027,11.125109316660902
62,9.458483967535178,11.262163172163621
63,9.69760147007474,11.394653640060925
64,9.849902679033965,11.4924153367123
65,9.943413467442385,11.730263974277225
