Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound
0,0.3686576646869498,0.39157351652039146,0.3863643865317705
1,0.7203387203588074,0.7668935041366826,0.6677947512021772
2,1.0372157410634337,1.1972588278403575,0.9492251158725841
3,1.426697562702158,1.5206596415641702,1.2306554805429906
4,1.7143724959857587,1.8658141041401575,1.5120858452133972
5,2.11499518976719,2.112387326938606,1.7935162098838044
6,2.5235815983633825,2.449020230409899,2.074946574554212
7,2.8121211324168267,2.7260542154836838,2.356376939224619
8,3.166860646785642,3.0375214505627257,2.637807303895026
9,3.4695927701041134,3.2434400068542706,2.9192376685654335
10,3.723956948167688,3.4981653687689005,3.2006680332358406
11,3.9686265504911704,3.770140946616298,3.4820983979062476
12,4.184278654062612,3.9844733999398323,3.7635287625766543
13,4.402887266304606,4.319558164291726,4.044959127247061
14,4.588243123895249,4.567986900269972,4.326389491917468
15,4.827446440461502,4.785438957413783,4.607819856587875
16,5.186257045190116,4.984044098497634,4.889250221258282
17,5.4728347975576,5.2215847713673025,5.170680585928689
18,5.757327584603476,5.488513230437863,5.452110950599096
19,5.944510523876099,5.6776026859071305,5.733541315269503
20,6.180981134643054,5.842048123705692,6.01497167993991
21,6.446360142920284,6.086361074931127,6.296402044610316
22,6.589525997691494,6.330144869661814,6.577832409280726
23,6.788070598092245,6.492703137967418,6.859262773951133
24,6.920435957781043,6.7127854238047915,7.140693138621541
25,7.2203276237404905,6.9768062358729805,7.422123503291948
26,7.465674898453851,7.175462964682384,7.703553867962356
27,7.784846098310043,7.35125833413839,7.984984232632764
28,7.992093884147382,7.648809802705527,8.266414597303172
29,8.183460423112288,7.85891273714911,8.547844961973578
30,8.371926038418907,8.12784439111278,8.829275326643986
31,8.540696115610746,8.338543993703922,9.110705691314394
32,8.75994314973233,8.493086588151442,9.392136055984802
33,9.019355503969125,8.670724172501526,9.67356642065521
34,9.30872559039746,8.9266267300677,9.954996785325616
35,9.595391775048665,9.084608281233317,10.236427149996024
36,9.761292175577482,9.253706378326655,10.517857514666431
37,9.96243852280353,9.425501588412223,10.79928787933684
38,10.161487163299775,9.649821146369057,11.080718244007247
39,10.331874161301894,9.752761359034587,11.362148608677654
40,10.489111131034417,9.869109462989373,11.643578973348061
41,10.66951654977034,10.06221508276565,11.92500933801847
42,10.831839553875179,10.203768355301484,12.206439702688877
43,11.093336896256725,10.312085238906008,12.487870067359285
44,11.351693099124882,10.465840395088678,12.769300432029691
45,11.580006763119764,10.591317604023516,13.0507307967001
46,11.790943013152937,10.819904023903755,13.332161161370507
47,12.012447595972253,10.928220907508278,13.613591526040915
48,12.170606227987225,11.242495855027821,13.895021890711323
49,12.363821769541758,11.438620899141046,14.17645225538173
50,12.582758106268507,11.705481150571831,14.457882620052137
51,12.700316439078621,11.892598658291902,14.739312984722545
52,12.820693522509425,12.092809125743225,15.020743349392953
53,13.006496565825126,12.198099592694799,15.302173714063361
54,13.319344340152636,12.358856719783315,15.583604078733767
55,13.496825804049028,12.582435865619152,15.865034443404175
56,13.751987781072113,12.739683146348275,16.146464808074583
57,13.941768251735843,12.949329120195372,16.42789517274499
58,14.158441804913712,13.100728588663358,16.7093255374154
59,14.302834349405563,13.32694872415217,16.990755902085805
60,14.406482883576913,13.594552185750754,17.272186266756215
61,14.534860139213325,13.79073985743319,17.55361663142662
62,14.718211295735596,14.004675017089813,17.835046996097027
63,14.844895296856553,14.161255485347187,18.116477360767437
64,15.004027000537587,14.2926560114466,18.397907725437843
65,15.142024617939516,14.439463701502353,18.679338090108253
66,15.248175526912553,14.60533061985161,18.96076845477866
67,15.383881852297927,14.752138309907366,19.242198819449065
68,15.527846410832549,14.951166419499987,19.523629184119475
69,15.654153627447831,15.07369448175299,19.80505954878988
70,15.766092299197965,15.306459284970714,20.08648991346029
71,15.973986487133818,15.430876962982364,20.367920278130697
72,16.125867935703585,15.575137001126205,20.649350642801103
73,16.273518028155802,15.728028705659446,20.930781007471513
74,16.55365558644504,15.956770823456107,21.21221137214192
75,16.73485839334419,16.086001719568806,21.49364173681233
76,16.95200040637821,16.205399675157384,21.775072101482735
77,17.005420138749084,16.340265210040677,22.05650246615314
