Time(Iteration),EpsilonGreedyLinearBandit,LinUCB,LinTS,LinPHE
0,0.5662338095200468,0.6359765678016993,0.6359765678016993,0.6359765678016993
1,1.2040180624101429,1.168063655996325,1.168063655996325,1.168063655996325
2,1.5650986585138795,1.9181583611017103,1.9181583611017103,1.9181583611017103
3,1.9716223266963033,2.5412643741240073,2.5412643741240073,2.5412643741240073
4,2.35142337082102,3.2769271078538367,3.2769271078538367,3.2769271078538367
5,2.8094993333539477,3.796103295046959,3.796103295046959,3.796103295046959
6,3.3132612722951142,4.385366657306152,4.385366657306152,4.385366657306152
7,3.6617952576953834,4.941817307410451,4.941817307410451,4.941817307410451
8,3.9699909512880014,5.5548280563716075,5.5548280563716075,5.5548280563716075
9,4.1819137370144,6.256910256973689,6.256910256973689,6.256910256973689
